Prompt_Type,Prompt,Chatbot,Response,Accuracy,Relevance,Clarity,Creativity,Response_Time,User_Satisfaction
Factual,Sample prompt about Factual 0,ChatGPT,Response by ChatGPT to prompt 0,0,3,1,2,2.3,3
Factual,Sample prompt about Factual 0,Gemini,Response by Gemini to prompt 0,1,4,1,2,4.13,1
Factual,Sample prompt about Factual 0,Perplexity,Response by Perplexity to prompt 0,0,4,1,1,3.48,5
Factual,Sample prompt about Factual 0,DeepSeek,Response by DeepSeek to prompt 0,1,3,1,3,4.08,2
Logical,Sample prompt about Logical 1,ChatGPT,Response by ChatGPT to prompt 1,1,1,3,2,2.15,5
Logical,Sample prompt about Logical 1,Gemini,Response by Gemini to prompt 1,1,1,5,1,3.82,2
Logical,Sample prompt about Logical 1,Perplexity,Response by Perplexity to prompt 1,1,3,1,2,3.55,4
Logical,Sample prompt about Logical 1,DeepSeek,Response by DeepSeek to prompt 1,1,2,2,5,4.39,1
Ambiguous,Sample prompt about Ambiguous 2,ChatGPT,Response by ChatGPT to prompt 2,1,4,2,5,2.39,4
Ambiguous,Sample prompt about Ambiguous 2,Gemini,Response by Gemini to prompt 2,1,3,5,5,2.88,1
Ambiguous,Sample prompt about Ambiguous 2,Perplexity,Response by Perplexity to prompt 2,1,5,3,4,4.03,2
Ambiguous,Sample prompt about Ambiguous 2,DeepSeek,Response by DeepSeek to prompt 2,1,4,5,1,3.54,5
Factual,Sample prompt about Factual 3,ChatGPT,Response by ChatGPT to prompt 3,1,4,1,2,1.51,3
Factual,Sample prompt about Factual 3,Gemini,Response by Gemini to prompt 3,1,5,4,5,1.81,2
Factual,Sample prompt about Factual 3,Perplexity,Response by Perplexity to prompt 3,1,3,5,1,4.9,2
Factual,Sample prompt about Factual 3,DeepSeek,Response by DeepSeek to prompt 3,1,5,2,2,3.75,3
Logical,Sample prompt about Logical 4,ChatGPT,Response by ChatGPT to prompt 4,0,5,2,4,4.08,4
Logical,Sample prompt about Logical 4,Gemini,Response by Gemini to prompt 4,0,2,2,2,2.4,2
Logical,Sample prompt about Logical 4,Perplexity,Response by Perplexity to prompt 4,1,4,2,3,4.52,5
Logical,Sample prompt about Logical 4,DeepSeek,Response by DeepSeek to prompt 4,0,4,5,1,2.92,1
Factual,Sample prompt about Factual 5,ChatGPT,Response by ChatGPT to prompt 5,0,5,1,2,3.51,3
Factual,Sample prompt about Factual 5,Gemini,Response by Gemini to prompt 5,0,5,3,2,3.42,4
Factual,Sample prompt about Factual 5,Perplexity,Response by Perplexity to prompt 5,1,4,3,5,3.51,5
Factual,Sample prompt about Factual 5,DeepSeek,Response by DeepSeek to prompt 5,0,2,1,4,1.66,3
Logical,Sample prompt about Logical 6,ChatGPT,Response by ChatGPT to prompt 6,1,4,5,1,2.1,4
Logical,Sample prompt about Logical 6,Gemini,Response by Gemini to prompt 6,1,5,1,1,4.77,3
Logical,Sample prompt about Logical 6,Perplexity,Response by Perplexity to prompt 6,0,1,5,4,2.89,2
Logical,Sample prompt about Logical 6,DeepSeek,Response by DeepSeek to prompt 6,1,4,1,1,4.14,4
Coding,Sample prompt about Coding 7,ChatGPT,Response by ChatGPT to prompt 7,0,3,3,5,1.78,4
Coding,Sample prompt about Coding 7,Gemini,Response by Gemini to prompt 7,1,2,5,1,1.87,2
Coding,Sample prompt about Coding 7,Perplexity,Response by Perplexity to prompt 7,0,5,3,3,1.59,4
Coding,Sample prompt about Coding 7,DeepSeek,Response by DeepSeek to prompt 7,1,2,4,1,2.14,5
Creative,Sample prompt about Creative 8,ChatGPT,Response by ChatGPT to prompt 8,0,5,5,3,3.29,4
Creative,Sample prompt about Creative 8,Gemini,Response by Gemini to prompt 8,1,5,2,1,3.57,5
Creative,Sample prompt about Creative 8,Perplexity,Response by Perplexity to prompt 8,0,5,2,3,1.81,5
Creative,Sample prompt about Creative 8,DeepSeek,Response by DeepSeek to prompt 8,1,4,5,4,3.32,2
Logical,Sample prompt about Logical 9,ChatGPT,Response by ChatGPT to prompt 9,1,2,4,3,2.64,3
Logical,Sample prompt about Logical 9,Gemini,Response by Gemini to prompt 9,0,1,4,3,3.55,5
Logical,Sample prompt about Logical 9,Perplexity,Response by Perplexity to prompt 9,1,3,3,3,1.99,1
Logical,Sample prompt about Logical 9,DeepSeek,Response by DeepSeek to prompt 9,1,4,5,1,1.51,2
Factual,Sample prompt about Factual 10,ChatGPT,Response by ChatGPT to prompt 10,1,5,2,4,3.81,4
Factual,Sample prompt about Factual 10,Gemini,Response by Gemini to prompt 10,1,5,5,1,2.1,3
Factual,Sample prompt about Factual 10,Perplexity,Response by Perplexity to prompt 10,1,5,1,5,4.46,3
Factual,Sample prompt about Factual 10,DeepSeek,Response by DeepSeek to prompt 10,0,5,1,5,2.82,1
Logical,Sample prompt about Logical 11,ChatGPT,Response by ChatGPT to prompt 11,1,4,1,2,1.87,4
Logical,Sample prompt about Logical 11,Gemini,Response by Gemini to prompt 11,0,5,4,1,2.62,1
Logical,Sample prompt about Logical 11,Perplexity,Response by Perplexity to prompt 11,1,3,2,2,4.24,3
Logical,Sample prompt about Logical 11,DeepSeek,Response by DeepSeek to prompt 11,0,4,2,5,2.06,2
Creative,Sample prompt about Creative 12,ChatGPT,Response by ChatGPT to prompt 12,1,2,5,2,3.29,4
Creative,Sample prompt about Creative 12,Gemini,Response by Gemini to prompt 12,1,2,4,1,2.58,3
Creative,Sample prompt about Creative 12,Perplexity,Response by Perplexity to prompt 12,1,3,3,1,3.15,3
Creative,Sample prompt about Creative 12,DeepSeek,Response by DeepSeek to prompt 12,1,4,5,4,3.5,1
Ambiguous,Sample prompt about Ambiguous 13,ChatGPT,Response by ChatGPT to prompt 13,0,3,2,2,3.93,2
Ambiguous,Sample prompt about Ambiguous 13,Gemini,Response by Gemini to prompt 13,0,2,1,1,3.72,3
Ambiguous,Sample prompt about Ambiguous 13,Perplexity,Response by Perplexity to prompt 13,1,5,4,5,2.68,5
Ambiguous,Sample prompt about Ambiguous 13,DeepSeek,Response by DeepSeek to prompt 13,1,5,2,4,2.22,5
Ambiguous,Sample prompt about Ambiguous 14,ChatGPT,Response by ChatGPT to prompt 14,1,1,1,3,1.8,5
Ambiguous,Sample prompt about Ambiguous 14,Gemini,Response by Gemini to prompt 14,0,2,5,3,1.92,3
Ambiguous,Sample prompt about Ambiguous 14,Perplexity,Response by Perplexity to prompt 14,0,1,2,1,1.97,2
Ambiguous,Sample prompt about Ambiguous 14,DeepSeek,Response by DeepSeek to prompt 14,0,1,1,5,2.68,4
Coding,Sample prompt about Coding 15,ChatGPT,Response by ChatGPT to prompt 15,0,3,3,5,4.01,3
Coding,Sample prompt about Coding 15,Gemini,Response by Gemini to prompt 15,1,5,3,2,4.68,5
Coding,Sample prompt about Coding 15,Perplexity,Response by Perplexity to prompt 15,1,5,3,5,3.69,4
Coding,Sample prompt about Coding 15,DeepSeek,Response by DeepSeek to prompt 15,1,5,3,1,2.37,1
Coding,Sample prompt about Coding 16,ChatGPT,Response by ChatGPT to prompt 16,1,2,3,3,4.54,2
